project,month,prediction,target,train_strategy,model_arch
geomajas,26,0.8668644132358411,retired,Oc^ --> Oc^^,DLSTM
geomajas,27,0.8674142834336533,retired,Oc^ --> Oc^^,DLSTM
geomajas,28,0.8673139473927984,retired,Oc^ --> Oc^^,DLSTM
geomajas,29,0.867563239183415,retired,Oc^ --> Oc^^,DLSTM
geomajas,30,0.8681704545504496,retired,Oc^ --> Oc^^,DLSTM
geomajas,31,0.8682689925322056,retired,Oc^ --> Oc^^,DLSTM
geomajas,32,0.8684599689314525,retired,Oc^ --> Oc^^,DLSTM
geomajas,33,0.8680175972554132,retired,Oc^ --> Oc^^,DLSTM
geomajas,34,0.868480842263288,retired,Oc^ --> Oc^^,DLSTM
geomajas,35,0.8687152505001525,retired,Oc^ --> Oc^^,DLSTM
geomajas,36,0.8684992676864339,retired,Oc^ --> Oc^^,DLSTM
geomajas,37,0.8680228443715083,retired,Oc^ --> Oc^^,DLSTM
geomajas,38,0.8685710234010122,retired,Oc^ --> Oc^^,DLSTM
geomajas,39,0.8686781432530642,retired,Oc^ --> Oc^^,DLSTM
geomajas,40,0.8683600988623403,retired,Oc^ --> Oc^^,DLSTM
geomajas,41,0.8683609268721775,retired,Oc^ --> Oc^^,DLSTM
geomajas,42,0.8686246740639824,retired,Oc^ --> Oc^^,DLSTM
geomajas,43,0.868583277948928,retired,Oc^ --> Oc^^,DLSTM
geomajas,44,0.8687747696072051,retired,Oc^ --> Oc^^,DLSTM
geomajas,45,0.8685771147810595,retired,Oc^ --> Oc^^,DLSTM
geomajas,46,0.8697223000018744,retired,Oc^ --> Oc^^,DLSTM
geomajas,47,0.8691218896820087,retired,Oc^ --> Oc^^,DLSTM
geomajas,48,0.8692462498821912,retired,Oc^ --> Oc^^,DLSTM
geomajas,49,0.8689216756551289,retired,Oc^ --> Oc^^,DLSTM
geomajas,50,0.8687412037209962,retired,Oc^ --> Oc^^,DLSTM
geomajas,51,0.8686560797231228,retired,Oc^ --> Oc^^,DLSTM
geomajas,52,0.8687177974292536,retired,Oc^ --> Oc^^,DLSTM
geomajas,53,0.8684812731770957,retired,Oc^ --> Oc^^,DLSTM
geomajas,54,0.8687605959488491,retired,Oc^ --> Oc^^,DLSTM
geomajas,55,0.8682576693363508,retired,Oc^ --> Oc^^,DLSTM
geomajas,56,0.8681902516811406,retired,Oc^ --> Oc^^,DLSTM
geomajas,57,0.867638084657588,retired,Oc^ --> Oc^^,DLSTM
geomajas,58,0.8673555340969669,retired,Oc^ --> Oc^^,DLSTM
geomajas,59,0.8671859665057993,retired,Oc^ --> Oc^^,DLSTM
geomajas,60,0.8670567652944283,retired,Oc^ --> Oc^^,DLSTM
geomajas,61,0.8666085540487317,retired,Oc^ --> Oc^^,DLSTM
geomajas,62,0.866395984718054,retired,Oc^ --> Oc^^,DLSTM
geomajas,63,0.8657594486800563,retired,Oc^ --> Oc^^,DLSTM
geomajas,64,0.8652051314582877,retired,Oc^ --> Oc^^,DLSTM
geomajas,65,0.859528834762247,retired,Oc^ --> Oc^^,DLSTM
geomajas,66,0.8552192451597666,retired,Oc^ --> Oc^^,DLSTM
geomajas,67,0.8562771985596068,retired,Oc^ --> Oc^^,DLSTM
geomajas,68,0.8358999488658096,retired,Oc^ --> Oc^^,DLSTM
geomajas,69,0.7330213192207083,retired,Oc^ --> Oc^^,DLSTM
geomajas,70,0.7583211622017288,retired,Oc^ --> Oc^^,DLSTM
geomajas,71,0.6792968396994792,retired,Oc^ --> Oc^^,DLSTM
geomajas,72,0.5198565347723958,retired,Oc^ --> Oc^^,DLSTM
geomajas,73,0.10739394057774808,retired,Oc^ --> Oc^^,DLSTM
geomajas,74,0.06619531447335371,retired,Oc^ --> Oc^^,DLSTM
geomajas,75,0.03623971963809666,retired,Oc^ --> Oc^^,DLSTM
geomajas,76,0.03765291668746128,retired,Oc^ --> Oc^^,DLSTM
geomajas,77,0.026258193656995596,retired,Oc^ --> Oc^^,DLSTM
geomajas,78,0.02466079826303011,retired,Oc^ --> Oc^^,DLSTM
geomajas,79,0.023244007568185225,retired,Oc^ --> Oc^^,DLSTM
geomajas,80,0.022839004806351985,retired,Oc^ --> Oc^^,DLSTM
geomajas,81,0.021760258089536647,retired,Oc^ --> Oc^^,DLSTM
geomajas,82,0.021626020102509292,retired,Oc^ --> Oc^^,DLSTM
geomajas,83,0.02141916536632745,retired,Oc^ --> Oc^^,DLSTM
geomajas,84,0.021380264377746594,retired,Oc^ --> Oc^^,DLSTM
geomajas,85,0.021043171523583558,retired,Oc^ --> Oc^^,DLSTM
geomajas,86,0.021039357900530516,retired,Oc^ --> Oc^^,DLSTM
geomajas,87,0.021000241830815006,retired,Oc^ --> Oc^^,DLSTM
geomajas,88,0.021006347027862853,retired,Oc^ --> Oc^^,DLSTM
geomajas,89,0.021032637552115527,retired,Oc^ --> Oc^^,DLSTM
geomajas,90,0.021088015833188395,retired,Oc^ --> Oc^^,DLSTM
geomajas,91,0.021067565809686033,retired,Oc^ --> Oc^^,DLSTM
geomajas,92,0.021091560250748098,retired,Oc^ --> Oc^^,DLSTM
geomajas,93,0.02103629406079269,retired,Oc^ --> Oc^^,DLSTM
geomajas,94,0.021051052172797506,retired,Oc^ --> Oc^^,DLSTM
geomajas,95,0.021042732695322256,retired,Oc^ --> Oc^^,DLSTM
geomajas,96,0.021052033410616535,retired,Oc^ --> Oc^^,DLSTM
geomajas,97,0.02108533650595911,retired,Oc^ --> Oc^^,DLSTM
geomajas,98,0.02111280216791754,retired,Oc^ --> Oc^^,DLSTM
geomajas,99,0.021129458175244704,retired,Oc^ --> Oc^^,DLSTM
geomajas,100,0.021148743428475805,retired,Oc^ --> Oc^^,DLSTM
geomajas,101,0.021158615759560684,retired,Oc^ --> Oc^^,DLSTM
geomajas,102,0.021168481517415596,retired,Oc^ --> Oc^^,DLSTM
geomajas,103,0.021154316655239227,retired,Oc^ --> Oc^^,DLSTM
geomajas,104,0.02118522294671369,retired,Oc^ --> Oc^^,DLSTM
geomajas,105,0.021219664341375146,retired,Oc^ --> Oc^^,DLSTM
geomajas,106,0.021235508371600355,retired,Oc^ --> Oc^^,DLSTM
geomajas,107,0.02125705907577825,retired,Oc^ --> Oc^^,DLSTM
geomajas,108,0.02126911727301351,retired,Oc^ --> Oc^^,DLSTM
geomajas,109,0.021286859844053756,retired,Oc^ --> Oc^^,DLSTM
geomajas,110,0.021293437606242173,retired,Oc^ --> Oc^^,DLSTM
geomajas,111,0.021292384955925066,retired,Oc^ --> Oc^^,DLSTM
geomajas,112,0.021316430902106182,retired,Oc^ --> Oc^^,DLSTM
geomajas,113,0.02134402121636437,retired,Oc^ --> Oc^^,DLSTM
geomajas,114,0.021354443515433263,retired,Oc^ --> Oc^^,DLSTM
geomajas,115,0.021373618768498352,retired,Oc^ --> Oc^^,DLSTM
geomajas,116,0.02138282975995797,retired,Oc^ --> Oc^^,DLSTM
geomajas,117,0.021400671328331608,retired,Oc^ --> Oc^^,DLSTM
geomajas,118,0.02140659485802458,retired,Oc^ --> Oc^^,DLSTM
geomajas,119,0.02140638081057442,retired,Oc^ --> Oc^^,DLSTM
geomajas,120,0.021424812087432955,retired,Oc^ --> Oc^^,DLSTM
geomajas,121,0.021444514629186492,retired,Oc^ --> Oc^^,DLSTM
geomajas,122,0.019603609190721107,retired,Oc^ --> Oc^^,DLSTM
geonetwork,1,0.7902875155672936,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,2,0.8647563250933609,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,3,0.8643478106100796,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,4,0.8601705967497347,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,5,0.8649050266288056,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,6,0.865072930824845,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,7,0.8641057470108499,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,8,0.86500040594084,graduated,Oc^ --> Oc^^,DLSTM
