project,prediction,target,train_strategy,model_arch
horn,retired,retired,Ac^ --> Ac^^,BLSTM
htrace,retired,retired,Ac^ --> Ac^^,BLSTM
hudi,graduated,graduated,Ac^ --> Ac^^,BLSTM
ibatis,graduated,graduated,Ac^ --> Ac^^,BLSTM
iceberg,graduated,graduated,Ac^ --> Ac^^,BLSTM
ignite,graduated,graduated,Ac^ --> Ac^^,BLSTM
impala,graduated,graduated,Ac^ --> Ac^^,BLSTM
imperius,retired,retired,Ac^ --> Ac^^,BLSTM
iota,retired,retired,Ac^ --> Ac^^,BLSTM
iotdb,graduated,graduated,Ac^ --> Ac^^,BLSTM
isis,graduated,graduated,Ac^ --> Ac^^,BLSTM
ivy,graduated,graduated,Ac^ --> Ac^^,BLSTM
jackrabbit,graduated,graduated,Ac^ --> Ac^^,BLSTM
jclouds,graduated,graduated,Ac^ --> Ac^^,BLSTM
jdo,graduated,graduated,Ac^ --> Ac^^,BLSTM
jena,graduated,graduated,Ac^ --> Ac^^,BLSTM
johnzon,graduated,graduated,Ac^ --> Ac^^,BLSTM
joshua,retired,graduated,Ac^ --> Ac^^,BLSTM
jspwiki,graduated,graduated,Ac^ --> Ac^^,BLSTM
juice,retired,retired,Ac^ --> Ac^^,BLSTM
juneau,graduated,graduated,Ac^ --> Ac^^,BLSTM
kafka,graduated,graduated,Ac^ --> Ac^^,BLSTM
kalumet,retired,retired,Ac^ --> Ac^^,BLSTM
kato,retired,retired,Ac^ --> Ac^^,BLSTM
kitty,retired,retired,Ac^ --> Ac^^,BLSTM
knox,graduated,graduated,Ac^ --> Ac^^,BLSTM
kudu,graduated,graduated,Ac^ --> Ac^^,BLSTM
kylin,graduated,graduated,Ac^ --> Ac^^,BLSTM
lens,graduated,graduated,Ac^ --> Ac^^,BLSTM
libcloud,graduated,graduated,Ac^ --> Ac^^,BLSTM
lokahi,retired,retired,Ac^ --> Ac^^,BLSTM
lucenenet,graduated,graduated,Ac^ --> Ac^^,BLSTM
lucy,graduated,graduated,Ac^ --> Ac^^,BLSTM
madlib,graduated,graduated,Ac^ --> Ac^^,BLSTM
manifoldcf,graduated,graduated,Ac^ --> Ac^^,BLSTM
marmotta,graduated,graduated,Ac^ --> Ac^^,BLSTM
mesos,graduated,graduated,Ac^ --> Ac^^,BLSTM
