Feature,Importance
feature_0,9.37772660444672
feature_1,-1.6481056751279168
feature_2,25.941011718175595
feature_3,13.646727800873723
feature_4,27.398854227087433
feature_5,22.161269812703623
feature_6,10.176143380746176
feature_7,3.3769285025648723
feature_8,-21.133278774294624
feature_9,-2.347860864358317
feature_10,2.2849066051086715
feature_11,6.543649948045589
feature_12,4.222026714028459
